eventid,iyear,imonth,iday,country,country_txt,provstate,city,latitude,longitude,summary,multiple,success,suicide,attacktype1,attacktype1_txt,targtype1,targtype1_txt,corp1,target1,gname,motive,weaptype1,weaptype1_txt,weapsubtype1,weapsubtype1_txt,weapdetail,nkill,nkillter,nwound,nwoundte,ishostkid,nhostkid,hostkidoutcome,hostkidoutcome_txt,nreleased,related
2.01E+11,2013,1,2,167,Russia,Karachay-Cherkessia,Uchkeken,43.934826,42.511993,"01/02/2013: Two assailants opened fire on a police station in Uchkeken village, Karachayevo-Cherkessiya republic, Russia. The assailants attempted to flee but were killed when the police returned fire. No group claimed responsibility for the incident.",0,0,0,2,Armed Assault,3,Police,Russian Police,Police Station,Unknown,,5,Firearms,2,Automatic Weapon,,2,2,0,0,0,,,,,
2.01E+11,2013,1,3,603,United Kingdom,England,Bathampton,51.393949,-2.319144,"01/03/2013: An assailant set fire to a communications mast in Bathampton town, South West region, England, United Kingdom. There were no injuries in the attack; however, television, radio, and mobile services were disrupted for approximately 80,000 residents. Police arrested one individual in connection with the attack. The Informal Anarchist Federation claimed responsibility for the incident in a post online.",0,1,0,7,Facility/Infrastructure Attack,16,Telecommunication,Arqiva,Communications Mast,Informal Anarchist Federation,,8,Incendiary,20,Gasoline or Alcohol,,0,0,0,0,0,,,,,
2.01E+11,2013,1,6,167,Russia,Kabardino-Balkaria,Unknown,43.393247,43.56285,"01/06/2013: Three assailants opened fire on police at a checkpoint in Kabardin-Balkar republic, Russia. The attackers were killed in the ensuing firefight. Police discovered explosive devices in the assailants' vehicle following the clash; the perpetrators were on their way to plant the devices at churches ahead of Christmas services in at least two different locations, including one in Kabardino-Balkaria. No group claimed responsibility for the unsuccessful bombings.",1,0,0,3,Bombing/Explosion,15,Religious Figures/Institutions,Russian Orthodox Church,Orthodox Church,Unknown,,6,Explosives/Bombs/Dynamite,15,Vehicle,A minibus containing multiple explosive devices was used in the attack.,3,3,0,0,0,,,,,"201301060041, 201301060042"
2.01E+11,2013,1,6,167,Russia,Stavropol,Unknown,44.668099,43.520214,"01/06/2013: Three assailants opened fire on police at a checkpoint in Kabardino-Balkaria, Russia. The attackers were killed in the ensuing firefight. Police discovered explosive devices in the assailants' vehicle following the clash; the perpetrators were on their way to plant the devices at churches ahead of Christmas services in at least two different locations, including one in Stavropol Krai. No group claimed responsibility for the unsuccessful bombings.",1,0,0,3,Bombing/Explosion,15,Religious Figures/Institutions,Russian Orthodox Church,Orthodox Church,Unknown,,6,Explosives/Bombs/Dynamite,16,Unknown Explosive Type,,0,0,0,0,0,,,,,"201301060042, 201301060041"
2.01E+11,2013,1,8,603,United Kingdom,Northern Ireland,Belfast,54.554345,-6.025275,"01/08/2013: A pipe bomb was discovered on a public street in Belfast city, Belfast district, Northern Ireland, United Kingdom. The device was brought to a Restorative Justice center, where it was safely defused without causing injury. No group claimed responsibility for the unsuccessful incident.",0,0,0,3,Bombing/Explosion,14,Private Citizens & Property,Not Applicable,Twinbrook Estate,Unknown,,6,Explosives/Bombs/Dynamite,17,Other Explosive Type,A pipe bomb was used in the attack.,0,0,0,0,0,,,,,
2.01E+11,2013,1,9,50,Croatia,Zagreb,Zagreb,45.821879,15.843591,"01/09/2013: An explosive device detonated on the railway tracks at Podsused train station in Zagreb city, City of Zagreb county, Croatia. There were no reported casualties, although the track, a cargo train engine, and nearby buildings were damaged in the blast. No group claimed responsibility for the incident; however one person was taken into custody for the incident and a similar attack several days later.",0,1,0,3,Bombing/Explosion,19,Transportation,Unknown,Freight Train,Unknown,,6,Explosives/Bombs/Dynamite,10,Pressure Trigger,A pressure-triggered explosive device was used in the attack.,0,0,0,0,0,,,,,
2.01E+11,2013,1,10,96,Ireland,Limerick,Limerick,52.66743,-8.629471,"01/10/2013: Two pipe bombs were discovered near a halting site in Limerick city, Munster, Ireland. The devices were safely defused without causing injury. No group claimed responsibility for the unsuccessful incident.",0,0,0,3,Bombing/Explosion,14,Private Citizens & Property,Not Applicable,Caravan Site,Unknown,,6,Explosives/Bombs/Dynamite,17,Other Explosive Type,Two pipe bombs were used in the attack.,0,0,0,0,0,,,,,
2.01E+11,2013,1,11,78,Greece,Attica,Athens,38.010095,23.824182,"01/11/2013: An incendiary device detonated at Antonis Liaros's private residence in Agia Paraskevi district, Athens city, Attica region, Greece. Liaros, a journalist, was not injured in the attack, although the building was damaged. This was one of five coordinated attacks targeting journalists in the city on the same night. Two groups, Militant Minority (Greece) and Circle of Violators/Nucleus Lovers of Anomy, claimed responsibility for the incidents.",1,1,0,7,Facility/Infrastructure Attack,10,Journalists & Media,Unknown,Journalist: Antonis Liaros,Militant Minority (Greece),"In a statement posted on a website, two groups, Militant Minority and Circle of Violators/Nucleus Lovers of Anomy, jointly claimed responsibility for the attack and stated that media coverage of the ongoing Greek financial crisis was sympathetic to the government.",8,Incendiary,20,Gasoline or Alcohol,An incendiary device consisting of two gas canisters was used in the attack.,0,0,0,0,0,,,,,"201301110006, 201301110007, 201301110008, 201301110009, 201301110010"
2.01E+11,2013,1,11,78,Greece,Attica,Athens,37.981259,23.745824,"01/11/2013: An incendiary device detonated at journalist George Oikonomeas's former residence in Lykavittos district, Athens city, Attica region, Greece. There were no reported casualties resulting from the attack, although the building was damaged. This was one of five coordinated attacks targeting journalists in the city on the same night. Two groups, Militant Minority (Greece) and Circle of Violators/Nucleus Lovers of Anomy, claimed responsibility for the incidents.",1,1,0,7,Facility/Infrastructure Attack,10,Journalists & Media,Unknown,Journalist: George Oikonomeas,Militant Minority (Greece),"In a statement posted on a website, two groups, Militant Minority and Circle of Violators/Nucleus Lovers of Anomy, jointly claimed responsibility for the attack and stated that media coverage of the ongoing Greek financial crisis was sympathetic to the government.",8,Incendiary,20,Gasoline or Alcohol,An incendiary device consisting of two gas canisters was used in the attack.,0,0,0,0,0,,,,,"201301110007, 201301110006, 201301110008, 201301110009, 201301110010"
2.01E+11,2013,1,11,78,Greece,Attica,Athens,38.047677,23.869798,"01/11/2013: An incendiary device detonated at Antonis Skyllakos's private residence in Penteli district, Athens city, Attica region, Greece. Skyllakos, the director of the Athens News Agency, was not injured in the attack, although the building was damaged. This was one of five coordinated attacks targeting journalists in the city on the same night. Two groups, Militant Minority (Greece) and Circle of Violators/Nucleus Lovers of Anomy, claimed responsibility for the incidents.",1,1,0,7,Facility/Infrastructure Attack,10,Journalists & Media,Athens News Agency,Director: Antonis Skyllakos,Militant Minority (Greece),"In a statement posted on a website, two groups, Militant Minority and Circle of Violators/Nucleus Lovers of Anomy, jointly claimed responsibility for the attack and stated that media coverage of the ongoing Greek financial crisis was sympathetic to the government.",8,Incendiary,20,Gasoline or Alcohol,An incendiary device consisting of two gas canisters was used in the attack.,0,0,0,0,0,,,,,"201301110008, 201301110006, 201301110007, 201301110009, 201301110010"
2.01E+11,2013,1,11,78,Greece,Attica,Athens,38.054956,23.807655,"01/11/2013: An incendiary device detonated at Chris Konstas's private residence in Maroussi district, Athens city, Attica region, Greece. Konstas, a journalist, was not injured in the attack, although the building was damaged. This was one of five coordinated attacks targeting journalists in the city on the same night. Two groups, Militant Minority (Greece) and Circle of Violators/Nucleus Lovers of Anomy, claimed responsibility for the incidents.",1,1,0,7,Facility/Infrastructure Attack,10,Journalists & Media,Unknown,Journalist: Chris Konstas,Militant Minority (Greece),"In a statement posted on a website, two groups, Militant Minority and Circle of Violators/Nucleus Lovers of Anomy, jointly claimed responsibility for the attack and stated that media coverage of the ongoing Greek financial crisis was sympathetic to the government.",8,Incendiary,20,Gasoline or Alcohol,An incendiary device consisting of two gas canisters was used in the attack.,0,0,0,0,0,,,,,"201301110009, 201301110006, 201301110007, 201301110008, 201301110010"
2.01E+11,2013,1,11,78,Greece,Attica,Athens,37.916644,23.718524,"01/11/2013: An incendiary device detonated at Petros Karsiotis's private residence in Alimos district, Athens city, Attica region, Greece. Karsiotis, a journalist, was not injured in the attack, although the building was damaged. This was one of five coordinated attacks targeting journalists in the city on the same night. Two groups, Militant Minority (Greece) and Circle of Violators/Nucleus Lovers of Anomy, claimed responsibility for the incidents.",1,1,0,7,Facility/Infrastructure Attack,10,Journalists & Media,Unknown,Journalist: Petros Karsiotis,Militant Minority (Greece),"In a statement posted on a website, two groups, Militant Minority and Circle of Violators/Nucleus Lovers of Anomy, jointly claimed responsibility for the attack and stated that media coverage of the ongoing Greek financial crisis was sympathetic to the government.",8,Incendiary,20,Gasoline or Alcohol,An incendiary device consisting of two gas canisters was used in the attack.,0,0,0,0,0,,,,,"201301110010, 201301110006, 201301110007, 201301110008, 201301110009"
2.01E+11,2013,1,11,78,Greece,Attica,Athens,37.983716,23.728724,"01/11/2013: Assailants threw a petrol bomb at a New Democracy Party office in Athens city, Attica region, Greece. There were no reported casualties resulting from the attack, although the building was damaged. This was one of three related attacks targeting government buildings and people in the city on the same night. No group claimed responsibility for the incidents.",1,1,0,7,Facility/Infrastructure Attack,14,Private Citizens & Property,New Democracy,District Office,Unknown,,8,Incendiary,20,Gasoline or Alcohol,An incendiary device made of gas canisters was used in the attack.,0,0,0,0,0,,,,,"201301110011, 201301110012, 201301110013"
2.01E+11,2013,1,11,78,Greece,Attica,Athens,37.983716,23.728724,"01/11/2013: Assailants threw a petrol bomb at a New Democracy Party office in Athens city, Attica region, Greece. There were no reported casualties resulting from the attack, although the building was damaged. This was one of three related attacks targeting government buildings and people in the city on the same night. No group claimed responsibility for the incidents.",1,1,0,7,Facility/Infrastructure Attack,14,Private Citizens & Property,New Democracy,District Office,Unknown,,8,Incendiary,20,Gasoline or Alcohol,An incendiary device made of gas canisters was used in the attack.,0,0,0,0,0,,,,,"201301110012, 201301110011, 201301110013"
2.01E+11,2013,1,11,78,Greece,Attica,Athens,37.983716,23.728724,"01/11/2013: Assailants threw bricks and a petrol bomb at a Panhellenic Socialist Movement (PASOK) office in Athens city, Attica region, Greece. There were no reported casualties resulting from the attack, although the building was damaged. This was one of three related attacks targeting government buildings and people in the city on the same night. No group claimed responsibility for the incidents.",1,1,0,7,Facility/Infrastructure Attack,2,Government (General),Panhellenic Socialist Movement (PASOK),PASOK Office,Unknown,,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,Petrol bombs and thrown bricks were used in the attack.,0,0,0,0,0,,,,,"201301110013, 201301110011, 201301110012"
2.01E+11,2013,1,11,50,Croatia,Zagreb,Zagreb,45.814739,15.862378,"01/11/2013: An explosive device detonated at a bus stop in Aleja Bologna area, Zagreb city, City of Zagreb county, Croatia. One person, the suspected bomber, was injured in the blast. No group claimed responsibility for the incident; however the injured person was taken into custody for the incident and a similar attack several days earlier.",0,1,0,3,Bombing/Explosion,19,Transportation,Unknown,Bus Stop,Unknown,,6,Explosives/Bombs/Dynamite,16,Unknown Explosive Type,,0,0,1,1,0,,,,,
2.01E+11,2013,1,11,603,United Kingdom,Northern Ireland,Belfast,54.594495,-5.94258,"01/11/2013: A pipe bomb was discovered and defused in Belfast city, Belfast district, Northern Ireland, United Kingdom. No group claimed responsibility for the unsuccessful incident.",0,0,0,3,Bombing/Explosion,20,Unknown,Unknown,Unknown,Unknown,,6,Explosives/Bombs/Dynamite,17,Other Explosive Type,A pipe bomb was used in the attack.,0,0,0,0,0,,,,,
2.01E+11,2013,1,12,78,Greece,Crete,Iraklion,35.329197,25.138667,"01/12/2013: Assailants threw an incendiary device at the Coalition of the Radical Left (SYRIZA) office in Iraklio city, Crete region, Greece. There were no reported casualties resulting from the incident. No group claimed responsibility for the incident.",0,1,0,7,Facility/Infrastructure Attack,2,Government (General),Coalition of the Radical Left (SYRIZA),SYRIZA Office,Unknown,,8,Incendiary,18,Arson/Fire,,0,0,0,0,0,,,,,
2.01E+11,2013,1,12,603,United Kingdom,Northern Ireland,Belfast,54.585966,-5.951825,"01/12/2013: An explosive device was discovered and defused in Belfast city, Belfast district, Northern Ireland, United Kingdom. No group claimed responsibility for the unsuccessful incident.",0,0,0,3,Bombing/Explosion,20,Unknown,Unknown,Unknown,Unknown,,6,Explosives/Bombs/Dynamite,16,Unknown Explosive Type,,0,0,0,0,0,,,,,
2.01E+11,2013,1,13,78,Greece,Attica,Athens,37.983445,23.728209,"01/13/2013: Assailants threw petrol bombs at George Kedikoglou's private residence in Athens city, Attica region, Greece. Kedikoglou, the brother of a government spokesperson Simos Kedikoglou, was not injured in the attack, although his house was damaged. No group claimed responsibility for the incident.",0,1,0,7,Facility/Infrastructure Attack,2,Government (General),Government of Greece,Brother of Spokesperson Simos Kedikoglou: George Kedikoglou,Unknown,,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,Petrol bombs and a sledgehammer were used in the attack.,0,0,0,0,0,,,,,
2.01E+11,2013,1,14,78,Greece,Attica,Athens,37.983445,23.728209,"01/14/2013: Assailants opened fire on the headquarters of the ruling New Democracy party in Athens city, Attica region, Greece. There were no reported casualties resulting from the attack; however, one office was damaged. The People's Fighter Group (Band of Popular Fighters) claimed responsibility for the incident.",0,1,0,7,Facility/Infrastructure Attack,14,Private Citizens & Property,New Democracy,District Office,People's Fighter Group (Band of Popular Fighters),,5,Firearms,2,Automatic Weapon,A Kalashnikov assault rifle was used in the attack.,0,0,0,0,0,,,,,
2.01E+11,2013,1,14,28,Bosnia-Herzegovina,Federation of Bosnia and Herzegovina,Mostar,43.342272,17.812754,"01/14/2013: An explosive device went off next to a statue commemorating civil war Bosnian fighters in Mostar city, Federation of Bosnia and Herzegovina, Bosnia. There were no reported casualties resulting from the blast; however, the monument was destroyed. No group claimed responsibility for the incident.",0,1,0,3,Bombing/Explosion,14,Private Citizens & Property,Not Applicable,Civil War Monument,Unknown,,6,Explosives/Bombs/Dynamite,16,Unknown Explosive Type,,0,0,0,0,0,,,,,
