YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1880,-1.5,1.3,4.2,10.1,12.2,17.1,19.5,18.3,15.5,8,4.6,3.5,0.2,8.8,18.3,9.4,9.18
1881,-6.3,-0.4,2.2,5.8,13.6,16.2,19.8,16.5,13,6.1,6.6,1.5,-1.1,7.2,17.5,8.6,8.05
1882,1.9,3.4,7.2,8.3,12.3,15.3,19,16.1,15.2,8.8,4.3,0.9,2.3,9.3,16.8,9.4,9.44
1883,-0.2,2.8,-1.3,5.5,12.7,17.5,18.3,16.8,14.8,9.6,4.9,1.3,1.2,5.6,17.5,9.8,8.53
1884,4.4,4.5,4.9,5.6,13.4,14.4,19.3,17.8,15.7,8.5,1.7,2.5,3.4,8,17.2,8.6,9.29
1885,-2.6,3.8,2.9,10,11.3,18.1,18.6,14.9,13.6,8.3,2.2,0.5,1.2,8.1,17.2,8,8.63
1886,-1,-4.7,-0.3,9.1,13.3,15.5,17.4,18,16,8.9,5.5,1,-1.7,7.4,17,10.1,8.18
1887,-2.9,-0.2,2.2,8.3,11.5,16.1,19.8,17,14,6.6,4.3,0.4,-0.7,7.3,17.6,8.3,8.14
1888,-1,-2.7,0,7,13.2,17,16.3,16.6,14.3,7.6,3.4,1.4,-1.1,6.7,16.6,8.4,7.68
1889,-2.9,-1.8,1.1,8.3,18.8,21.3,18,16.9,12.2,8.8,3.8,-0.4,-1.1,9.4,18.7,8.3,8.83
1890,2.3,-1.6,6,8.6,15.7,15.6,17.4,18.8,14.6,8.3,3.4,-4.9,0.1,10.1,17.3,8.8,9.06
1891,-3.5,0.6,3.7,6,14.8,15.8,18.2,16.6,15.2,11,3.3,2.4,-2.6,8.2,16.9,9.8,8.07
1892,-1.9,1,1.6,8,12.8,16.9,17.6,19.8,15.2,8.2,2,-1.2,0.5,7.5,18.1,8.5,8.63
1893,-8,1.9,4.5,8.9,13,17,18.9,18,13,10.6,2.7,1,-2.4,8.8,18,8.8,8.28
1894,-1.6,2.4,5.5,10.5,11.1,15.3,20,16.3,11.9,8.2,4.9,0.5,0.6,9,17.2,8.3,8.79
1895,-3.2,-4.6,2.3,9.5,14.1,17.5,18.8,18.3,16,7.6,4.1,-0.7,-2.4,8.6,18.2,9.2,8.41
1896,-0.6,0.6,5.8,6.9,12.2,18.7,18.8,16.2,13.5,10.2,1.4,-0.8,-0.2,8.3,17.9,8.4,8.58
1897,-3.4,0.1,5.2,8.3,12,18.9,17.7,18.7,13.3,7.8,2.9,1.5,-1.4,8.5,18.4,8,8.39
1898,2.7,2,4.2,7.7,13.1,16.9,15.1,19.5,14.3,8,5.1,3.9,2.1,8.3,17.2,9.1,9.18
1899,2.4,2.6,3.3,8.4,12.8,15.3,19.2,18,13,8.6,7.4,-3.4,3,8.2,17.5,9.7,9.58
1900,0.4,0.8,1.1,7.2,12.4,17.5,20.3,18.1,14.8,9.5,4.9,2.9,-0.7,6.9,18.6,9.7,8.63
1901,-3.7,-3,3,8.7,14.5,17.2,20.6,18.3,14,10.9,3.8,1.1,-1.3,8.7,18.7,9.6,8.93
1902,3.6,-1.3,3.4,7.3,10.1,17.1,16.5,15.3,12.7,7.3,1.3,-2.4,1.1,6.9,16.3,7.1,7.87
1903,0.5,4.1,6.5,5.8,14.5,16.5,18.1,16.7,14.4,9.6,4.7,-0.7,0.7,8.9,17.1,9.6,9.08
1904,-0.9,1.1,3.6,9.5,13.1,16.7,19.9,18,13.4,8.8,4.2,3,-0.2,8.7,18.2,8.8,8.89
1905,-1.1,2.4,4.8,5.9,14,18.9,19.4,17.7,13.5,5.3,3.9,1.7,1.4,8.2,18.7,7.6,8.98
1906,1.3,1.5,2.9,10,15.5,16.6,18.9,17.7,14,9.5,7.1,-2.2,1.5,9.5,17.7,10.2,9.73
1907,-0.4,-1.2,3.5,6.8,14.5,16.4,15.7,16.2,13.7,12.8,2.9,1.1,-1.3,8.3,16.1,9.8,8.23
1908,-0.7,2.1,3.6,6.5,14.2,18.5,18.9,15.8,13.1,8.8,1.3,-1.4,0.8,8.1,17.7,7.7,8.6
1909,-0.9,-2,1.6,8,11.5,15.8,16.5,17.2,14,11.1,2.2,2.3,-1.4,7,16.5,9.1,7.8
1910,2.1,3.1,4,8.2,14,19,16.9,16.7,13,9,2.4,2.6,2.5,8.7,17.5,8.1,9.23
1911,0.6,1.9,4.7,8.5,15.3,16.7,20.2,20.7,14.9,9.2,5,2.5,1.7,9.5,19.2,9.7,10.03
1912,-2.9,1.6,6.4,8.1,12.1,16.9,20.4,15.3,10.3,7,3.1,4.1,0.4,8.9,17.5,6.8,8.4
